Geopotential_Altitude_ft,Geometric_Altitude_ft,Pressure_Altitude_ft,Temperature_F,Temperature_R,Temperature_C,Temperature_K,Temperature_Ratio,Pressure_inHg,Pressure_PSF,Pressure_Ratio,Density_slug_ft3,Density_Ratio,Speed_of_Sound_FPS,Speed of Sound_kts,Q_M2_PSF,Absolute_Viscosity_lbsec_ft2
46057,46159,44000,-79.24,380.43,-61.8,211.35,0.7335,4.5694,323.18,1.527E-01,4.949E-04,2.082E-01,956.2,566.5,226.2,2.898E-07
47027,47133,45000,-82.84,376.83,-63.8,209.35,0.7265,4.355,308.01,1.455E-01,4.762E-04,2.003E-01,951.6,563.8,215.6,2.874E-07
47988,48098,46000,-86.26,373.41,-65.7,207.45,0.7199,4.1506,293.56,1.387E-01,4.580E-04,1.927E-01,947.3,561.3,205.5,2.851E-07
48940,49055,47000,-89.68,369.99,-67.6,205.55,0.7133,3.9558,279.78,1.322E-01,4.405E-04,1.853E-01,942.9,558.7,195.8,2.829E-07
49884,50003,48000,-93.28,366.39,-69.6,203.55,0.7064,3.7702,266.65,1.260E-01,4.240E-04,1.784E-01,938.3,556,186.7,2.805E-07
50818,50942,49000,-96.7,362.97,-71.5,201.65,0.6998,3.5933,254.14,1.201E-01,4.079E-04,1.716E-01,934,553.4,177.9,2.782E-07
51744,51872,50000,-100.12,359.55,-73.4,199.75,0.6932,3.4246,242.21,1.145E-01,3.924E-04,1.651E-01,929.5,550.7,169.5,2.759E-07
52661,52794,51000,-103.36,356.31,-75.2,197.95,0.687,3.2639,230.85,1.091E-01,3.774E-04,1.588E-01,925.3,548.3,161.6,2.737E-07
53569,53707,52000,-106.78,352.89,-77.1,196.05,0.6804,3.1108,220.01,1.040E-01,3.632E-04,1.528E-01,920.9,545.6,154,2.714E-07
54469,54611,53000,-110.02,349.65,-78.9,194.25,0.6741,2.9648,209.69,9.909E-02,3.494E-04,1.470E-01,916.7,543.1,146.8,2.692E-07
55000,55145,53595,-112,347.67,-80,193.15,0.6703,2.8815,203.8,9.630E-02,3.415E-04,1.437E-01,914.1,541.6,142.7,2.679E-07
55362,55509,54000,-111.1,348.57,-79.5,193.65,0.672,2.8257,199.85,9.444E-02,3.340E-04,1.405E-01,915.2,542.3,139.9,2.685E-07
56258,56410,55000,-108.94,350.73,-78.3,194.85,0.6762,2.6931,190.47,9.000E-02,3.164E-04,1.331E-01,918.1,543.9,133.3,2.699E-07
57159,57316,56000,-106.78,352.89,-77.1,196.05,0.6804,2.5667,181.53,8.578E-02,2.997E-04,1.261E-01,920.9,545.6,127.1,2.714E-07
58066,58228,57000,-104.62,355.05,-75.9,197.25,0.6845,2.4462,173.01,8.176E-02,2.839E-04,1.194E-01,923.7,547.3,121.1,2.729E-07
58979,59146,58000,-102.46,357.21,-74.7,198.45,0.6887,2.3314,164.89,7.792E-02,2.689E-04,1.131E-01,926.5,548.9,115.4,2.743E-07
59896,60068,59000,-100.3,359.37,-73.5,199.65,0.6929,2.222,157.16,7.426E-02,2.548E-04,1.072E-01,929.3,550.6,110,2.758E-07
60820,60998,60000,-97.96,361.71,-72.2,200.95,0.6974,2.1178,149.78,7.078E-02,2.412E-04,1.015E-01,932.3,552.4,104.8,2.774E-07
61750,61933,61000,-95.8,363.87,-71,202.15,0.7015,2.0184,142.75,6.746E-02,2.285E-04,9.615E-02,935.1,554,99.9,2.788E-07
