Geopotential_Altitude_ft,Geometric_Altitude_ft,Pressure_Altitude_ft,Temperature_F,Temperature_R,Temperature_C,Temperature_K,Temperature_Ratio,Pressure_inHg,Pressure_PSF,Pressure_Ratio,Density_slug_ft3,Density_Ratio,Speed_of_Sound_FPS,Speed of Sound_kts,Q_M2_PSF,Absolute_Viscosity_lbsec_ft2
37000,37066,36980,-69.7,389.97,-56.5,216.65,0.7519,6.397,452.43,0.2138,6.759E-04,0.2844,968.1,573.6,316.7,2.969E-07
38000,38069,37967,-69.7,389.97,-56.5,216.65,0.7519,6.0968,431.2,0.2038,6.442E-04,0.2710,968.1,573.6,301.8,2.969E-07
39000,39073,38945,-69.7,389.97,-56.5,216.65,0.7519,5.8107,410.97,0.1942,6.139E-04,0.2583,968.1,573.6,287.7,2.969E-07
40000,40077,39914,-69.7,389.97,-56.5,216.65,0.7519,5.538,391.68,0.1851,5.851E-04,0.2462,968.1,573.6,274.2,2.969E-07
41000,41081,40874,-69.7,389.97,-56.5,216.65,0.7519,5.2781,373.3,0.1764,5.577E-04,0.2346,968.1,573.6,261.3,2.969E-07
42000,42085,41825,-69.7,389.97,-56.5,216.65,0.7519,5.0304,355.78,0.1681,5.315E-04,0.2236,968.1,573.6,249,2.969E-07
43000,43089,42768,-69.7,389.97,-56.5,216.65,0.7519,4.7944,339.09,0.1602,5.066E-04,0.2131,968.1,573.6,237.4,2.969E-07
44000,44093,43702,-69.7,389.97,-56.5,216.65,0.7519,4.5694,323.18,0.1527,4.828E-04,0.2031,968.1,573.6,226.2,2.969E-07
45000,45097,44627,-69.7,389.97,-56.5,216.65,0.7519,4.355,308.01,0.1455,4.601E-04,0.1936,968.1,573.6,215.6,2.969E-07
46000,46102,45545,-69.7,389.97,-56.5,216.65,0.7519,4.1506,293.56,0.1387,4.385E-04,0.1845,968.1,573.6,205.5,2.969E-07
47000,47106,46454,-69.7,389.97,-56.5,216.65,0.7519,3.9558,279.78,0.1322,4.180E-04,0.1758,968.1,573.6,195.8,2.969E-07
48000,48111,47354,-69.7,389.97,-56.5,216.65,0.7519,3.7702,266.65,0.1260,3.983E-04,0.1676,968.1,573.6,186.7,2.969E-07
49000,49115,48246,-69.7,389.97,-56.5,216.65,0.7519,3.5933,254.14,0.1201,3.796E-04,0.1597,968.1,573.6,177.9,2.969E-07
50000,50120,49131,-69.7,389.97,-56.5,216.65,0.7519,3.4246,242.21,0.1145,3.618E-04,0.1522,968.1,573.6,169.5,2.969E-07
51000,51125,50007,-69.7,389.97,-56.5,216.65,0.7519,3.2639,230.85,0.1091,3.449E-04,0.1451,968.1,573.6,161.6,2.969E-07
52000,52130,50875,-69.7,389.97,-56.5,216.65,0.7519,3.1108,220.01,0.1040,3.287E-04,0.1383,968.1,573.6,154,2.969E-07
53000,53135,51735,-69.7,389.97,-56.5,216.65,0.7519,2.9648,209.69,0.0991,3.132E-04,0.1318,968.1,573.6,146.8,2.969E-07
54000,54140,52587,-69.7,389.97,-56.5,216.65,0.7519,2.8257,199.85,0.0944,2.985E-04,0.1256,968.1,573.6,139.9,2.969E-07
